d_s,h_s,t,d_d,P_e,Reference,Group
0.7480319,4.77559313,0.03543309,3.149608,0.843582004,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.77165612,0.03543309,3.149608,0.800060977,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.7637821,0.03543309,3.149608,0.751736351,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.62204974,0.03543309,3.149608,0.650658466,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.62598675,0.03543309,3.149608,0.580016185,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.64173479,0.03543309,3.149608,0.738244206,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.67716788,0.03543309,3.149608,0.537465115,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.63779778,0.03543309,3.149608,0.894660353,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.67716788,0.03543309,3.149608,0.90640002,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.66929386,0.03543309,3.149608,0.660133995,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.64960881,0.03543309,3.149608,0.584593681,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.65354582,0.03543309,3.149608,0.494581549,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.70078994,0.03543309,3.149608,0.685768721,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.67323087,0.03543309,3.149608,0.666303684,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.66929386,0.03543309,3.149608,0.679056033,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.66535685,0.03543309,3.149608,0.86703458,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.62204974,0.03543309,3.149608,0.849389132,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.65748283,0.03543309,3.149608,0.662389899,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.85827034,0.03543309,3.149608,0.464390007,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,5.66142038,0.04724412,3.149608,0.993528532,Nellinger (2015),Stud diameter = 3/4 inch
0.7480319,5.6299243,0.04724412,3.149608,0.910314863,Nellinger (2015),Stud diameter = 3/4 inch
0.8661422,4.89370343,0.035039389,2.2834658,0.588118864,Lawson et al. (2017),Stud diameter = 7/8 inch
